date,time,2015/02_oh_chute,2015/03_ticker_treat,2015/04_hall_of_mirrors,2015/05_tic_tac_oh,2015/06_polymath,2015/07_good_chemistry,2015/08_number_cross_2,2015/09_think_of_the_children,2015/10_hex_agony,2015/11_pair_dance,2015/12_professor_rando,2016/01_professor_rando_redux,2016/02_travel_agent,2016/03_knight_moves,2016/04_long_journey,2016/05_hooks_2,2016/06_get_out_the_vote,2016/07_number_cross_3,2016/08_swing_time,2016/09_chess_dance,2016/10_tri_tri_again,2016/11_the_wright_stuff,2016/12_star_search,2017/01_hex_agony_2,2017/02_what_about_bob,2017/03_birthday_bash,2017/04_knight_moves_2,2017/05_kenken_concatenated,2017/06_well_well_well,2017/07_split_division,2017/08_middlylinks,2017/09_square_run,2017/10_turn_based_strategy_game,2017/11_block_party,2017/12_crosswords,2018/01_rather_square_sudoku,2018/02_hooks_3,2018/03_its_symmetric,2018/04_where_in_the_world,2018/05_swing_time_2,2018/06_twenty_four_seven,2018/07_triangle_math,2018/08_hooks_4,2018/09_spiral_region,2018/10_subtiles,2018/11_pent_up_frustration,2018/12_block_party_2,2019/01_fences,2019/02_tile_and_trouble_2,2019/03_twenty_four_seven_2_by_2,2019/04_remote_sudoku,2019/05_disassembled_rainbow_bagel,2019/06_hooks_5,2019/07_scraggle,2019/08_knight_moves_3,2019/09_block_party_3,2019/10_tri_tri_again_again,2019/11_hooks_6,2019/12_poetry_in_motion,2020/01_alter_nate,2020/02_single_cross,2020/04_triads,2020/05_expelled,2020/06_circle_time,2020/07_what_a_trit,2020/08_study_and_ponder,2020/09_tangled,2020/10_candy_collectors,2020/12_twenty_four_seven_2_by_2_2,2021/01_figurine_figuring,2021/02_hooks_7,2021/03_tit_for_tat,2021/04_bracketology_101,2021/05_past_tens,2021/06_robot_weightlifting,2021/07_its_symmetric_2,2021/08_robot_tug_of_war,2021/09_knight_moves_4,2021/10_robot_swimming_trials,2021/11_split_division_2,2021/12_robot_archery,2022/01_hooks_8,2022/02_eldrow,2022/03_the_hidden_warning,2022/04_almost_magic,2022/05_robot_updated_swimming_trials,2022/06_block_party_4,2022/07_andys_morning_stroll,2022/08_new_york_minute,2022/09_pair_dance_2,2022/10_the_marshy_mess,2022/11_pent_up_frustration_2,2022/12_die_agony,2023/01_lesses_more,2023/02_twenty_four_seven_four_in_one,2023/03_robot_long_jump,2023/04_arc_edge_acreage,2023/05_game_night,2023/06_hooks_9,2023/07_choco_banana,2023/08_single_cross_2,2023/09_getting_from_a_to_b,2023/10_a_weird_tour,2023/11_knight_moves_5,2023/12_hall_of_mirrors_2,2024/01_some_f_squares,2024/02_some_off_square,2024/03_hooks_10,2024/04_robot_capture_the_flag,2024/05_number_cross_4,2024/06_altered_states_2,2024/07_many_happy_returns,2024/08_tree_edge_triage,2024/09_fences_2,2024/10_knight_moves_6,2024/11_beside_the_point,2024/12_games_night,2025/01_somewhat_square_sudoku,2025/02_top_score_give_or_take,2025/03_hall_of_mirrors_3,2025/04_sum_one_somewhere,2025/05_number_cross_5,2025/06_some_ones_somewhere,2025/07_robot_road_trip,2025/08_dogs_playing_poker,2025/09_hooks_11,2025/10_robot_baseball,2025/11_shut_the_box,2025/12_robot_javelin
2026-01-25,17:44:50,unsolvable(missing_image),unsolvable(no_content),unsolvable(missing_image),correct,unsolvable(missing_image),unsolvable(no_content),unsolvable(missing_image),unsolvable(no_content),partial,partial,partial,partial,unsolvable(no_content),unsolvable(missing_image),unsolvable(missing_image),unsolvable(missing_image),unsolvable(no_content),unsolvable(missing_image),partial,partial,partial,unsolvable(missing_image),unsolvable(no_content),partial,unsolvable(no_content),unsolvable(no_content),partial,unsolvable(missing_image),unsolvable(no_content),partial,unsolvable(missing_image),unsolvable(missing_image),partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,correct,partial,correct,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,correct,partial,partial,partial,partial,correct,partial,partial,partial,partial,partial,partial,partial,partial
2026-01-28,21:11:13,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,21:13:12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,21:16:10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,21:21:50,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,unknown,unknown,incorrect,incorrect,incorrect,unknown,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,21:34:43,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,,,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,21:38:08,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,,,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
